,lemma,buckwalter,frequency,part_of_speech
71,رَّحِيم,r~aHiym,116,"Adjective (112), Noun (4)"
72,دُّنْيَا,d~unoyaA,115,"Adjective (74), Noun (41)"
73,رَحْمَة,raHomap,114,Noun
74,أَجْر,>ajor,105,Noun
75,عِلْم,Eilom,105,Noun
76,لَن,lan,104,Negative particle
77,عَزِيز,Eaziyz,101,"Noun (63), Adjective (38)"
78,حَكِيم,Hakiym,97,"Adjective (84), Noun (13)"
79,ذُو,*uw,93,"Noun (90), Location adverb (2), Adjective (1)"
80,هَل,hal,93,Interogative particle
81,دِين,diyn,92,Noun
82,قَوْل,qawol,92,Noun
83,غَفُور,gafuwr,91,"Noun (62), Adjective (29)"
84,شَيْطَٰن,$ayoTa`n,88,"Proper noun (80), Noun (8)"
85,مَثَل,maval,88,"Noun (87), Adjective (1)"
86,مَلَك,malak,88,Noun
87,مَال,maAl,86,Noun
88,وَلِىّ,waliY~,86,Noun
89,هُدًى,hudFY,85,Noun
90,فَضْل,faDol,84,Noun
91,لَيْل,layol,84,"Noun (82), Time adverb (2)"
92,صَلَوٰة,Salaw`p,83,Noun
93,كَيْف,kayof,83,"Interogative particle (80), Noun (3)"
94,أَوَّل,>aw~al,82,"Noun (61), Adjective (19), Time adverb (2)"
95,أَكْثَر,>akovar,80,"Noun (78), Adjective (2)"
96,بُنَىّ,bunaY~,80,Noun
97,أَصْحَٰب,>aSoHa`b,78,Noun
98,جَهَنَّم,jahan~am,77,Proper noun
99,حَيَوٰة,Hayaw`p,76,Noun
100,ذِكْر,*ikor,76,Noun
101,زَوْج,zawoj,76,Noun
102,أَخ,>ax,75,Noun
103,لَوْلَآ,lawolaA^,75,"Exhortation particle (40), Conditional particle (35)"
104,مِثْل,mivol,75,Noun
105,نَّبِىّ,n~abiY~,75,Noun
106,أَحَد,>aHad,74,Noun
107,خَٰلِد,xa`lid,74,Noun
108,فِرْعَوْن,firoEawon,74,Proper noun
109,عَٰلَمِين,Ea`lamiyn,73,Noun
110,لَٰكِن,la`kin,73,"Amendment particle (65), Accusative particle (8)"
111,أَلِيم,>aliym,72,Adjective
112,وَجْه,wajoh,72,"Noun (71), Time adverb (1)"
113,إِنسَٰن,<insa`n,71,Noun
114,بَيِّنَة,bay~inap,71,"Noun (55), Adjective (16)"
115,عَمَل,Eamal,71,Noun
116,آخَر,A^xar,70,"Noun (44), Adjective (26)"
117,قُرْءَان,quro'aAn,70,"Proper noun (68), Noun (2)"
118,قَلِيل,qaliyl,70,"Noun (43), Adjective (27)"
119,قِيَٰمَة,qiya`map,70,Noun
120,يَوْمَئِذ,yawoma}i*,70,Time adverb
121,إِبْرَاهِيم,<iboraAhiym,69,Proper noun
122,بَيْت,bayot,65,Noun
123,صَٰلِح,Sa`liH,65,"Noun (60), Adjective (5)"
124,يَمِين,yamiyn,65,Noun
125,آبَاء,A^baA',64,Noun
126,أُمَّة,>um~ap,64,Noun
127,ٱبْن,{bon,63,Noun
128,كَثِير,kaviyr,63,"Noun (42), Adjective (21)"
129,مَآء,maA^',63,Noun
130,صَّٰلِحَٰت,S~a`liHa`t,62,Noun
131,أَىّ,>aY~,60,"Interogative particle (35), Noun (24), Conditional particle (1)"
132,صَادِق,SaAdiq,59,Noun
133,نِسَآء,nisaA^',59,Noun
134,نَذِير,na*iyr,58,Noun
135,رَّحْمَٰن,r~aHoma`n,57,"Noun (45), Adjective (12)"
136,عَيْن,Eayon,57,Noun
137,قَرْيَة,qaroyap,57,Noun
138,لَٰكِنّ,la`kin~,57,Accusative particle
139,نَهَار,nahaAr,57,"Noun (56), Time adverb (1)"
140,شَدِيد,$adiyd,56,"Adjective (36), Noun (20)"
141,شَهِيد,$ahiyd,56,"Noun (40), Adjective (16)"
142,وَلَد,walad,56,Noun
143,أَمَّا,>am~aA,55,"Explanation particle (44), Conditional particle (11)"
144,رِزْق,rizoq,55,Noun
145,نَهَر,nahar,54,Noun
146,جَمِيع,jamiyE,53,Noun
147,أَجَل,>ajal,52,Noun
148,خَلْق,xaloq,52,Noun
149,مُجْرِم,mujorim,52,"Noun (44), Adjective (8)"
150,بَصِير,baSiyr,51,"Noun (31), Adjective (20)"
151,تَحْت,taHot,51,"Noun (48), Location adverb (3)"
152,سُوٓء,suw^',50,Noun
153,عَدُوّ,Eaduw~,50,"Noun (49), Adjective (1)"
154,مَوْت,mawot,50,Noun
155,نِعْمَة,niEomap,50,Noun
156,أَعْلَم,>aEolam,49,"Noun (33), Adjective (16)"
157,غَيْب,gayob,49,Noun
158,مُتَّقِين,mut~aqiyn,49,Noun
159,وَعْد,waEod,49,Noun
160,بَصَر,baSar,48,Noun
161,دَار,daAr,48,Noun
162,سَاعَة,saAEap,48,"Noun (47), Time adverb (1)"
163,مُلْك,mulok,48,Noun
164,سَمِيع,samiyE,47,"Noun (39), Adjective (8)"
165,أَبٌ,>abN,46,Noun
166,أُولِى,>uwliY,45,Noun
167,إِيمَٰن,<iyma`n,45,Noun
168,خَبِير,xabiyr,45,"Adjective (23), Noun (22)"
169,صِرَٰط,Sira`T,45,Noun
170,قَدِير,qadiyr,45,"Noun (44), Adjective (1)"
171,صَدْر,Sador,44,Noun
172,مُشْرِك,mu$orik,44,Noun
173,إِسْرَائِيل,<isoraA}iyl,43,Proper noun
174,حَمْد,Hamod,43,Noun
175,نُوح,nuwH,43,Proper noun
176,نُور,nuwr,43,Noun
177,جَزَآء,jazaA^',42,Noun
178,سَلَٰم,sala`m,42,"Noun (41), Adjective (1)"
179,سَوْف,sawof,42,Future particle
180,بَحْر,baHor,41,Noun
181,سُبْحَٰن,suboHa`n,41,Noun
182,فَوْق,fawoq,41,"Noun (25), Location adverb (16)"
183,شَرِيك,$ariyk,40,Noun
184,كَبِير,kabiyr,40,"Adjective (32), Noun (8)"
185,وَيْل,wayol,40,Noun
186,إِذْن,<i*on,39,Noun
187,ٱسْم,{som,39,Noun
188,أَلَآ,>alaA^,39,Inceptive particle
189,جَبَل,jabal,39,Noun
190,حِسَاب,HisaAb,39,"Noun (38), Adjective (1)"
191,مُسْلِم,musolim,39,"Noun (24), Proper noun (14), Adjective (1)"
192,ضَلَٰل,Dala`l,38,Noun
193,مُحْسِن,muHosin,38,Noun
194,مَّعْرُوف,m~aEoruwf,38,"Noun (34), Adjective (4)"
195,مَّيِّت,m~ay~it,38,"Noun (34), Adjective (4)"
196,بَشَر,ba$ar,37,Noun
197,ذَنب,*anb,37,Noun
198,سُلْطَٰن,suloTa`n,37,Noun
199,فَاسِق,faAsiq,37,"Noun (24), Adjective (13)"
200,كُفْر,kufor,37,Noun
201,مُّسْتَقِيم,m~usotaqiym,37,"Noun (23), Adjective (14)"
202,أَحْسَن,>aHosan,36,"Noun (35), Adjective (1)"
203,سَيِّـَٔات,say~i_#aAt,36,Noun
204,إِثْم,<ivom,35,Noun
205,حِين,Hiyn,35,"Noun (31), Time adverb (4)"
206,مَتَٰع,mata`E,35,Noun
207,مُّرْسَل,m~urosal,35,"Noun (34), Adjective (1)"
208,نَصِير,naSiyr,35,"Noun (34), Adjective (1)"
209,أُمّ,>um~,34,Noun
210,فِتْنَة,fitonap,34,Noun
211,مَرْيَم,maroyam,34,Proper noun
212,ءَالَآء,'aAlaA^',34,Noun
213,حَرَام,HaraAm,33,"Adjective (17), Noun (16)"
214,شَمْس,$amos,33,Noun
215,فَرِيق,fariyq,33,Noun
216,كَذِب,ka*ib,33,Noun
217,كَلَّا,kal~aA,33,Aversion particle
218,نَّعَم,n~aEam,33,Noun
219,خَٰسِرِين,xa`siriyn,32,Noun
220,زَكَوٰة,zakaw`p,32,Noun
221,عَٰقِبَة,Ea`qibap,32,Noun
222,كَٰذِب,ka`*ib,32,"Noun (31), Adjective (1)"
223,إِذًا,<i*FA,31,"Surprise particle (18), Answer particle (13)"
224,أَشَدّ,>a$ad~,31,"Noun (28), Adjective (3)"
225,وَٰحِدَة,wa`Hidap,31,"Noun (22), Adjective (9)"
226,حُكْم,Hukom,30,Noun
227,شَرّ,$ar~,30,Noun
228,قُوَّة,quw~ap,30,Noun
229,كَرِيم,kariym,30,"Adjective (28), Noun (2)"
230,مَلَأ,mala>,30,Noun
231,وَٰحِد,wa`Hid,30,"Adjective (24), Noun (6)"
232,جُند,jund,29,Noun
233,حَيْث,Hayov,29,"Noun (16), Location adverb (13)"
234,رَجُل,rajul,29,Noun
235,رِيح,riyH,29,Noun
236,عَرْش,Earo$,29,Noun
237,عَهْد,Eahod,29,Noun
238,كَأَنّ,ka>an~,29,Accusative particle
239,نَبَأ,naba>,29,Noun
240,أَبَدًا,>abadFA,28,Time adverb
241,أَنَّىٰ,>an~aY`,28,"Interogative particle (27), Noun (1)"
242,حَدِيث,Hadiyv,28,Noun
243,حَسَنَة,Hasanap,28,"Noun (25), Adjective (3)"
244,ذُرِّيَّة,*ur~iy~ap,28,Noun
245,رِجَال,rijaAl,28,Noun
246,سِحْر,siHor,28,Noun
247,كَلِمَة,kalimap,28,Noun
248,مَسْجِد,masojid,28,Noun
249,مَصِير,maSiyr,28,Noun
250,مَّغْفِرَة,m~agofirap,28,Noun
251,بَاب,baAb,27,Noun
252,سَوَآء,sawaA^',27,"Noun (26), Adjective (1)"
253,غَٰفِل,ga`fil,27,Noun
254,قَمَر,qamar,27,Noun
255,كَافِر,kaAfir,27,Noun
256,لُوط,luwT,27,Proper noun
257,مَّكَان,m~akaAn,27,"Noun (25), Location adverb (2)"
258,مُنَٰفِقُون,muna`fiquwn,27,Noun
259,يُوسُف,yuwsuf,27,Proper noun
260,أَجْمَعِين,>ajomaEiyn,26,Noun
261,ٱمْرَأَت,{mora>at,26,Noun
262,بَٰطِل,ba`Til,26,Noun
263,ثَمُود,vamuwd,26,Proper noun
264,جَحِيم,jaHiym,26,Noun
265,خَوْف,xawof,26,Noun
266,قَرِيب,qariyb,26,"Adjective (15), Noun (11)"
267,كَيْد,kayod,26,Noun
268,مَاذَا,maA*aA,26,Interogative particle
269,ءَال,'aAl,26,Noun
270,آدَم,A^dam,25,Proper noun
271,بَأْس,ba>os,25,Noun
272,بَعِيد,baEiyd,25,"Adjective (20), Noun (5)"
273,جُنَاح,junaAH,25,Noun
274,عِيسَى,EiysaY,25,Proper noun
275,لِسَان,lisaAn,25,Noun
276,مِّيثَٰق,m~iyva`q,25,Noun
277,أَكْبَر,>akobar,24,"Noun (13), Adjective (11)"
278,أُنثَىٰ,>unvaY`,24,Noun
279,إِيَّا,<iy~aA,24,Personal pronoun
280,حَيّ,Hay~,24,"Noun (23), Adjective (1)"
281,طَآئِفَة,TaA^}ifap,24,"Noun (23), Adjective (1)"
282,طَعَام,TaEaAm,24,Noun
283,عَاد,EaAd2,24,Proper noun
284,غَنِىّ,ganiY~,24,"Noun (20), Adjective (4)"
285,لِقَآء,liqaA^',24,Noun
286,وَرَآء,waraA^',24,"Location adverb (12), Noun (12)"
287,وَكِيل,wakiyl,24,Noun
288,إِمَّا,<im~aA,23,"Explanation particle (22), Conditional particle (1)"
289,ذَا,*aA,23,"Noun (18), Demonstrative pronoun (5)"
290,ذِكْرَىٰ,*ikoraY`,23,Noun
291,سَاجِد,saAjid,23,"Noun (18), Adjective (5)"
292,سَبْع,saboE,23,"Noun (22), Time adverb (1)"
293,شَهَٰدَة,$aha`dap,23,Noun
294,ظُلُمَٰت,Zuluma`t,23,"Noun (22), Adjective (1)"
295,فُلْك,fulok,23,Noun
296,قَرْن,qaron,23,Noun
297,مِسْكِين,misokiyn,23,"Noun (22), Adjective (1)"
298,يَتِيم,yatiym,23,"Noun (21), Adjective (2)"
299,بَرّ,bar~,22,"Noun (21), Adjective (1)"
300,بَلَىٰ,balaY`,22,Answer particle
301,جِنّ,jin~,22,Noun
302,خَلْف,xalof,22,"Noun (17), Location adverb (5)"
303,دُعَآء,duEaA^',22,Noun
304,سَٰحِر,sa`Hir,22,Noun
305,سَمْع,samoE,22,Noun
306,سَيِّئَة,say~i}ap,22,"Noun (21), Adjective (1)"
307,مَأْوَىٰ,ma>owaY`,22,Noun
308,مُّؤْمِنَٰت,m~u&omina`t,22,"Noun (18), Adjective (4)"
309,نَصْر,naSor,22,Noun
310,أَعْمَىٰ,>aEomaY`,21,"Noun (18), Adjective (3)"
311,حَسَن,Hasan,21,"Adjective (20), Noun (1)"
312,رُوح,ruwH,21,Noun
313,شَاهِد,$aAhid,21,"Noun (19), Adjective (2)"
314,شَهْر,$ahor,21,Noun
315,طَيِّبَٰت,Tay~iba`t,21,Noun
316,ظَنّ,Zan~,21,Noun
317,كَم,kam,21,"Interogative particle (20), Noun (1)"
318,مُّسَمًّى,m~usam~FY,21,"Noun (16), Adjective (5)"
319,مُفْسِد,mufosid,21,Noun
320,مُّكَذِّبِين,m~uka*~ibiyn,21,Noun
321,نَصِيب,naSiyb,21,Noun
322,حِزْب,Hizob,20,Noun
323,حِكْمَة,Hikomap,20,Noun
324,حَمِيم,Hamiym,20,"Noun (14), Adjective (6)"
325,صَابِر,SaAbir,20,"Noun (19), Adjective (1)"
326,ظُلْم,Zulom,20,Noun
327,عِقَاب,EiqaAb,20,Noun
328,لَدَي,laday,20,Location adverb
329,هَٰرُون,ha`ruwn,20,Proper noun
330,أَقْرَب,>aqorab,19,"Noun (17), Adjective (2)"
331,أَيْن,>ayon,19,"Interogative particle (12), Location adverb (4), Conditional particle (3)"
332,زِينَة,ziynap,19,Noun
333,شَجَرَة,$ajarap,19,Noun
334,ضُرّ,Dur~,19,Noun
335,طَيْر,Tayor,19,Noun
336,فَوْز,fawoz,19,Noun
337,مَرَّة,mar~ap,19,Noun
338,مُصَدِّق,muSad~iq,19,"Noun (15), Adjective (4)"
339,مُّعْرِضُون,m~uEoriDuwn,19,Noun
340,مَكْر,makor,19,Noun
341,أُذُنٌ,>u*unN,18,Noun
342,إِنس,<ins,18,Noun
343,تَّوْرَىٰة,t~aworaY`p,18,Proper noun
344,دَآبَّة,daA^b~ap,18,Noun
345,دُبُر,dubur,18,Noun
346,دَرَجَة,darajap,18,Noun
347,ذَكَر,*akar,18,Noun
348,رَأْس,ra>os,18,Noun
349,رَيْب,rayob,18,Noun
350,عَٰلِم,Ea`lim,18,Noun
351,لَّدُن,l~adun,18,"Noun (17), Time adverb (1)"
352,مُنكَر,munkar,18,Noun
353,مَوْلَىٰ,mawolaY`,18,Noun
354,إِسْحَاق,<isoHaAq,17,Proper noun
355,أَهْوَآء,>ahowaA^',17,Noun
356,بَطْن,baTon,17,Noun
357,بَنَات,banaAt,17,Noun
358,تَأْوِيل,ta>owiyl,17,Noun
359,تُرَاب,turaAb,17,Noun
360,تَقْوَى,taqowaY,17,Noun
361,حُسْنَىٰ,HusonaY`,17,"Noun (10), Adjective (7)"
362,حَمِيد,Hamiyd,17,"Adjective (16), Noun (1)"
363,حَوْل,Hawol,17,"Noun (13), Location adverb (3), Time adverb (1)"
364,سُلَيْمَٰن,sulayoma`n,17,Proper noun
365,فَٰحِشَة,fa`Hi$ap,17,Noun
366,قَآئِم,qaA^}im,17,Noun
367,مُّهْتَدُون,m~uhotaduwn,17,Noun
368,نَعِيم,naEiym,17,Noun
369,أَظْلَم,>aZolam,16,Noun
370,أَلْبَٰب,>aloba`b,16,Noun
371,ثَمَرَٰت,vamara`t,16,Noun
372,دَاوُد,daAwud,16,Proper noun
373,سَعِير,saEiyr,16,Noun
374,سُنَّة,sun~ap,16,Noun
375,طَيِّب,Tay~ib,16,"Adjective (8), Noun (8)"
376,فُؤَاد,fu&aAd,16,Noun
377,قُرْبَىٰ,qurobaY`,16,Noun
378,مَرْجِع,marojiE,16,Noun
379,مِيزَان,miyzaAn,16,Noun
380,يَعْقُوب,yaEoquwb,16,Proper noun
381,بُشْرَىٰ,bu$oraY`,15,Noun
382,بَلَٰغ,bala`g,15,Noun
383,تَنزِيل,tanziyl,15,Noun
384,حَرَج,Haraj,15,"Noun (14), Adjective (1)"
385,حَلِيم,Haliym,15,"Adjective (11), Noun (4)"
386,رِجْل,rijol,15,Noun
387,شَكّ,$ak~,15,Noun
388,صَبْر,Sabor,15,Noun
389,ظَهْر,Zahor,15,Noun
390,قِسْط,qisoT,15,Noun
391,كُلَّمَا,kul~amaA,15,Time adverb
392,مُسْرِف,musorif,15,"Noun (12), Adjective (3)"
393,مَلِك,malik,15,"Noun (13), Adjective (2)"
394,مِلَّة,mil~ap,15,Noun
395,مُنذِر,mun*ir,15,Noun
396,نَصْرَانِيّ,naSoraAniy~,15,Proper noun
397,يَسِير,yasiyr,15,"Adjective (10), Noun (5)"
398,ٱبْتِغَآء,{botigaA^',14,Noun
399,أَثَر,>avar,14,Noun
400,أُخْت,>uxot,14,Noun
401,إِذَا,<i*aA2,14,Surprise particle
402,أَلْف,>alof,14,Noun
403,أَمِين,>amiyn,14,Adjective
404,بَلَد,balad,14,Noun
405,حُدُود,Huduwd,14,Noun
406,خَاشِع,xaA$iE,14,Noun
407,شَاكِر,$aAkir,14,Noun
408,صِدْق,Sidoq,14,Noun
409,ضَآلّ,DaA^l~,14,"Noun (11), Adjective (3)"
410,ظِلّ,Zil~,14,Noun
411,عَدْل,Eadol,14,Noun
412,غَضَب,gaDab,14,Noun
413,قَادِر,qaAdir,14,Noun
414,كَلِمَٰت,kalima`t,14,Noun
415,لَعْنَة,laEonap,14,Noun
416,لَيْت,layot,14,Accusative particle
417,مَدِينَة,madiynap,14,"Noun (10), Proper noun (4)"
418,مَقَام,maqaAm,14,Noun
419,مُّهِين,m~uhiyn,14,"Adjective (7), Noun (7)"
420,وَالِد,waAlid,14,Noun
421,ٱثْنَيْن,{vonayon,13,Noun
422,بَغْتَة,bagotap,13,Noun
423,ثَلَٰثَة,vala`vap,13,"Noun (12), Time adverb (1)"
424,ثَوَاب,vawaAb,13,Noun
425,جَمْع,jamoE,13,Noun
426,حَٰفِظ,Ha`fiZ,13,Noun
427,حَرْث,Harov,13,Noun
428,حُسْن,Huson,13,Noun
429,رِضْوَٰن,riDowa`n,13,Noun
430,شَفَٰعَة,$afa`Eap,13,Noun
431,صَيْحَة,SayoHap,13,Noun
432,غَالِب,gaAlib,13,Noun
433,غُلَٰم,gula`m,13,Noun
434,قِتَال,qitaAl,13,Noun
435,مَثْوًى,mavowFY,13,Noun
436,مَّرَض,m~araD,13,Noun
437,مُفْلِحُون,mufoliHuwn,13,Noun
438,نَّجْم,n~ajom,13,Noun
439,إِحْسَٰن,<iHosa`n,12,Noun
440,أَدْنَىٰ,>adonaY`,12,"Noun (10), Adjective (1), Time adverb (1)"
441,أَرْحَام,>aroHaAm,12,Noun
442,إِسْمَاعِيل,<isomaAEiyl,12,Proper noun
443,أَصَمّ,>aSam~,12,Noun
444,أَفْوَٰه,>afowa`h,12,Noun
445,إِمَام,<imaAm,12,Noun
446,إِنجِيل,<injiyl,12,Proper noun
447,بَرِىٓء,bariY^',12,"Noun (11), Adjective (1)"
448,تَوَّاب,taw~aAb,12,"Noun (11), Adjective (1)"
449,حَفِيظ,HafiyZ,12,"Noun (7), Adjective (5)"
450,حَنِيف,Haniyf,12,Noun
451,خَٰلِق,xa`liq,12,"Noun (11), Adjective (1)"
452,سِنِين,siniyn,12,"Noun (11), Time adverb (1)"
453,طِين,Tiyn,12,Noun
454,عَٰمِل,Ea`mil,12,Noun
455,فَتْح,fatoH,12,Noun
456,فَقِير,faqiyr,12,"Noun (10), Adjective (2)"
457,كَفُور,kafuwr,12,"Adjective (6), Noun (6)"
458,لَحْم,laHom,12,Noun
459,مَسْكَن,masokan,12,Noun
460,مُعْجِز,muEojiz,12,Noun
461,مَّوْعِد,m~awoEid,12,Noun
462,نُّطْفَة,n~uTofap,12,Noun
463,وِزْر,wizor,12,Noun
464,إِبْلِيس,<iboliys,11,Proper noun
465,إِحْدَى,<iHodaY,11,Noun
466,أَوْلَىٰ,>awolaY`,11,"Noun (9), Adjective (2)"
467,بَغْي,bagoy,11,Noun
468,ثَمَن,vaman,11,Noun
469,حَسْب,Hasob,11,Noun
470,خِزْى,xizoY,11,Noun
471,رَءُوف,ra'uwf,11,"Noun (10), Adjective (1)"
472,سِرّ,sir~,11,Noun
473,شَرَاب,$araAb,11,Noun
474,شُعَيْب,$uEayob,11,Proper noun
475,شِيعَة,$iyEap,11,Noun
476,ضِعْف,DiEof,11,"Noun (7), Adjective (4)"
477,عَابِد,EaAbid,11,"Noun (10), Adjective (1)"
478,عَدْن,Eadon,11,Proper noun
479,عِدَّة,Eid~ap,11,Noun
480,عَرَبِيّ,Earabiy~,11,"Adjective (10), Noun (1)"
481,عِزَّة,Eiz~ap,11,Noun
482,عَلِيّ,Ealiy~,11,"Noun (8), Adjective (3)"
483,عِنَب,Einab,11,Noun
484,فَٰكِهَة,fa`kihap,11,Noun
485,فَسَاد,fasaAd,11,Noun
486,قَدَر,qadar,11,Noun
487,قَوِىّ,qawiY~,11,"Noun (9), Adjective (2)"
488,كَثِيرَة,kaviyrap,11,Adjective
489,مَجْنُون,majonuwn,11,Noun
490,مُخْلِص,muxoliS,11,Noun
491,مَسِيح,masiyH,11,Proper noun
492,مَشْرِق,ma$oriq,11,Noun
493,مَّعْلُوم,m~aEoluwm,11,"Noun (9), Adjective (2)"
494,نَاصِر,naASir,11,Noun
495,نَجْوَىٰٓ,najowaY`^,11,Noun
496,نَخْل,naxol,11,Noun
497,نَفْع,nafoE,11,Noun
498,هُزُو,huzuw,11,Noun
499,هَوَآء,hawaA^',11,Noun
500,أَحَقّ,>aHaq~,10,"Noun (5), Adjective (5)"
501,أَعْرَاب,>aEoraAb,10,Noun
502,جَاهِل,jaAhil,10,Noun
503,جَبَّار,jab~aAr,10,"Adjective (5), Noun (5)"
504,جِنَّة,jin~ap,10,Noun
505,حِجَارَة,HijaArap,10,Noun
506,خَيْرَٰت,xayora`t,10,Noun
507,دَم,dam,10,Noun
508,رِجْس,rijos,10,Noun
509,رَوَٰسِى,rawa`siY,10,Noun
510,زَرْع,zaroE,10,Noun
511,سَرِيع,sariyE,10,"Noun (8), Adjective (2)"
512,سَعْي,saEoy,10,Noun
513,سُورَة,suwrap,10,Noun
514,شَفِيع,$afiyE,10,"Noun (9), Adjective (1)"
515,شَكُور,$akuwr,10,"Adjective (9), Noun (1)"
516,صَاحِب,SaAHib,10,Noun
517,صُّور,S~uwr,10,Noun
518,ضَرّ,Dar~,10,Noun
519,طُور,Tuwr,10,Noun
520,عِجْل,Eijol,10,Noun
521,عَشِىّ,Ea$iY~,10,"Noun (8), Time adverb (2)"
522,عَصَا,EaSaA2,10,Noun
523,فِئَة,fi}ap,10,Noun
524,قَتْل,qatol,10,Noun
525,كَى,kaY,10,"Subordinating conjunction (7), Negative particle (3)"
526,كَيْل,kayol,10,Noun
527,لِبَاس,libaAs,10,Noun
528,لَهْو,lahow,10,Noun
529,مِائَة,miA}ap,10,Noun
530,مُّحْضَر,m~uHoDar,10,Noun
531,مُّخْتَلِف,m~uxotalif,10,Noun
532,مَدْيَن,madoyan,10,Proper noun
533,مَّرِيض,m~ariyD,10,Noun
534,مُسْتَقَرّ,musotaqar~,10,Noun
535,مُّصِيبَة,m~uSiybap,10,Noun
536,مَغْرِب,magorib,10,Noun
537,مُّقِيم,m~uqiym,10,"Noun (8), Adjective (2)"
538,وَٰلِدَي,wa`liday,10,Noun
539,ءَامِنِين,'aAminiyn,10,Noun
540,آتِي,A^tiy,9,Noun
541,أَذًى,>a*FY,9,Noun
542,أَرْبَعَة,>arobaEap,9,Noun
543,أَسَٰطِير,>asa`Tiyr,9,Noun
544,أَضَلّ,>aDal~,9,Noun
545,أَعْلَىٰ,>aEolaY`,9,"Noun (6), Adjective (3)"
546,إِفْك,<ifok,9,Noun
547,بَشِير,ba$iyr,9,"Noun (7), Adjective (2)"
548,تِجَٰرَة,tija`rap,9,Noun
549,تَذْكِرَة,ta*okirap,9,Noun
550,جَانِب,jaAnib,9,"Noun (8), Location adverb (1)"
551,جُلُود,juluwd,9,Noun
552,حُبّ,Hub~,9,Noun
553,حَجّ,Haj~,9,Noun
554,خَبِيث,xabiyv,9,Noun
555,خَلِيفَة,xaliyfap,9,Noun
556,رِجْز,rijoz,9,Noun
557,رَقَبَة,raqabap,9,Noun
558,سَبَب,sabab,9,Noun
559,سَحَاب,saHaAb,9,Noun
560,سَوْء,sawo',9,Noun
561,صَٰلِح,Sa`liH2,9,Proper noun
562,صِيَام,SiyaAm,9,Noun
563,ضَرَّآء,Dar~aA^',9,Noun
564,ضَلَٰلَة,Dala`lap,9,Noun
565,طُغْيَٰن,Tugoya`n,9,Noun
566,طَيِّبَة,Tay~ibap,9,Adjective
567,عَام,EaAm,9,Noun
568,عِبَادَت,EibaAdat,9,Noun
569,عُنُق,Eunuq,9,Noun
570,عِوَج,Eiwaj,9,Noun
571,غُرُور,guruwr,9,Noun
572,غِلّ,gil~,9,Noun
573,غَلِيظ,galiyZ,9,"Adjective (8), Noun (1)"
574,فَاعِل,faAEil,9,Noun
575,فَصْل,faSol,9,"Noun (8), Adjective (1)"
576,قَرَار,qaraAr,9,Noun
577,لَغْو,lagow,9,Noun
578,لَوْن,lawon,9,Noun
579,مُبَشِّر,muba$~ir,9,Noun
580,مَّبْعُوثُون,m~aboEuwvuwn,9,Noun
581,مَتَىٰ,mataY`,9,Interogative particle
582,مُحِيط,muHiyT,9,Noun
583,مُخْلَص,muxolaS,9,"Adjective (8), Noun (1)"
584,مَّوْعِظَة,m~awoEiZap,9,Noun
585,مَـَٔاب,ma_#aAb,9,Noun
586,نَبَات,nabaAt,9,Noun
587,هُنَالِك,hunaAlik,9,"Time adverb (8), Location adverb (1)"
588,وَٰسِع,wa`siE,9,Noun
589,يَهُودِيّ,yahuwdiy~,9,Proper noun
590,أَبْيَض,>aboyaD,8,"Noun (5), Adjective (3)"
591,إِسْلَٰم,<isola`m,8,"Proper noun (6), Noun (2)"
592,أَشُدّ,>a$ud~,8,Noun
593,بِرّ,bir~,8,Noun
594,بُرْهَٰن,buroha`n,8,Noun
595,ثَلَٰث,vala`v,8,"Noun (7), Time adverb (1)"
596,ثِيَاب,viyaAb,8,Noun
597,جَدِيد,jadiyd,8,Adjective
598,جَنب,janb,8,Noun
599,خَزَآئِن,xazaA^}in,8,Noun
600,خَشْيَة,xa$oyap,8,Noun
601,خَطِيٓـَٔة,xaTiy^_#ap,8,Noun
602,خِلَٰل,xila`l,8,Noun
603,ذَهَب,*ahab,8,Noun
604,رَاكِع,raAkiE,8,Noun
605,شِّمَال,$~imaAl,8,Noun
606,صَاعِقَة,SaAEiqap,8,Noun
607,صُحُف,SuHuf,8,Noun
608,صَدَقَٰت,Sadaqa`t,8,Noun
609,صَوْت,Sawot,8,Noun
610,ضَعِيف,DaEiyf,8,"Noun (7), Adjective (1)"
611,طَّٰغُوت,T~a`guwt,8,Noun
612,ظَٰهِر,Za`hir,8,Noun
613,عُدْوَٰن,Eudowa`n,8,Noun
614,عَقِب,Eaqib,8,Noun
615,فَرْج,faroj,8,Noun
616,قَانِت,qaAnit,8,Noun
617,قَدَم,qadam,8,Noun
618,قَرِين,qariyn,8,Noun
619,لَعِب,laEib,8,Noun
620,لَيْلَة,layolap,8,"Noun (7), Time adverb (1)"
621,مُبَارَك,mubaArak,8,"Noun (6), Adjective (2)"
622,مُتَّكِـِٔين,mut~aki_#iyn,8,Noun
623,مِثْقَال,mivoqaAl,8,Noun
624,مُحْصَنَٰت,muHoSana`t,8,Noun
625,مُدْبِر,mudobir,8,Noun
626,مُشْفِقُون,mu$ofiquwn,8,Noun
627,مُقَرَّبُون,muqar~abuwn,8,"Noun (7), Adjective (1)"
628,مَنَٰفِع,mana`fiE,8,Noun
629,مَّوَدَّة,m~awad~ap,8,Noun
630,مِيقَٰت,miyqa`t,8,Noun
631,نُزُل,nuzul,8,Noun
632,وَصِيَّة,waSiy~ap,8,Noun
