,lemma,buckwalter,frequency,part_of_speech
3022,مُصَّدِّقِين,muS~ad~iqiyn,1,Noun
3023,مَصْرِف,maSorif,1,Noun
3024,مَصْرُوف,maSoruwf,1,Noun
3025,مُصْطَفَيْن,muSoTafayon,1,Noun
3026,مُّصَفًّى,m~uSaf~FY,1,Noun
3027,مُصَلًّى,muSal~FY,1,Noun
3028,مُصَوِّر,muSaw~ir,1,Adjective
3029,مُصِيب,muSiyb,1,Noun
3030,مُضَآرّ,muDaA^r~,1,Noun
3031,مُّضَٰعَفَة,m~uDa`Eafap,1,Adjective
3032,مُضْطَرّ,muDoTar~,1,Noun
3033,مُضْعِفُون,muDoEifuwn,1,Noun
3034,مُضِيّ,muDiy~,1,Noun
3035,مُّطَاع,m~uTaAE,1,Adjective
3036,مُطَفِّفِين,muTaf~ifiyn,1,Noun
3037,مَطْلَع,maTolaE,1,Noun
3038,مَطْلِع,maToliE,1,Noun
3039,مُّطَّلِعُون,m~uT~aliEuwn,1,Noun
3040,مَطْلُوب,maToluwb,1,Noun
3041,مُطَهِّر,muTah~ir,1,Noun
3042,مُطَهَّرُون,muTah~aruwn,1,Noun
3043,مُطَّهِّرِين,muT~ah~iriyn,1,Noun
3044,مُطَّوِّعِين,muT~aw~iEiyn,1,Noun
3045,مَطْوِيَّٰت,maTowiy~a`t,1,Noun
3046,مَظْلُوم,maZoluwm,1,Noun
3047,مَعَاد,maEaAd,1,Noun
3048,مَعَاذِير,maEaA*iyr,1,Noun
3049,مَعَاش,maEaA$,1,Noun
3050,مُعْتَبِين,muEotabiyn,1,Noun
3051,مُعْتَرّ,muEotar~,1,Noun
3052,مَّعْدُود,m~aEoduwd,1,Noun
3053,مُعَذِّرُون,muEa*~iruwn,1,Noun
3054,مَّعْرُوفَة,m~aEoruwfap,1,Noun
3055,مَّعَرَّة,m~aEar~ap,1,Noun
3056,مَعْز,maEoz,1,Noun
3057,مَعْزِل,maEozil,1,Noun
3058,مَعْزُولُون,maEozuwluwn,1,Noun
3059,مِعْشَار,miEo$aAr,1,Noun
3060,مُعْصِرَٰت,muEoSira`t,1,Noun
3061,مُّعَطَّلَة,m~uEaT~alap,1,Noun
3062,مُعَقِّب,muEaq~ib,1,Noun
3063,مُعَقِّبَٰت,muEaq~iba`t,1,Noun
3064,مَعْكُوف,maEokuwf,1,Noun
3065,مُعَلَّقَة,muEal~aqap,1,Noun
3066,مُعَلَّم,muEal~am,1,Noun
3067,مُّعَمَّر,m~uEam~ar,1,Noun
3068,مَعْمُور,maEomuwr,1,Noun
3069,مُعَوِّقِين,muEaw~iqiyn,1,Noun
3070,مَغَٰرَٰت,maga`ra`t,1,Noun
3071,مُغَٰضِب,muga`Dib,1,Noun
3072,مُغْتَسَل,mugotasal,1,Noun
3073,مُغْرَمُون,mugoramuwn,1,Noun
3074,مَغْشِىّ,mago$iY~,1,Noun
3075,مَغْضُوب,magoDuwb,1,Noun
3076,مَغْلُوب,magoluwb,1,Noun
3077,مُغَيِّر,mugay~ir,1,Noun
3078,مُغِيرَٰت,mugiyra`t,1,Noun
3079,مَفَاز,mafaAz,1,Noun
3080,مُّفَتَّحَة,m~ufat~aHap,1,Noun
3081,مُفْتَر,mufotar,1,Noun
3082,مُفْتَرَيَٰت,mufotaraya`t,1,Noun
3083,مَفْتُون,mafotuwn,1,Noun
3084,مَفَرّ,mafar~,1,Noun
3085,مُّفْرَطُون,m~uforaTuwn,1,Noun
3086,مُفَصَّل,mufaS~al,1,Noun
3087,مُّفَصَّلَٰت,m~ufaS~ala`t,1,Adjective
3088,مَقَابِر,maqaAbir,1,Noun
3089,مَّقَٰمِع,m~aqa`miE,1,Noun
3090,مُقَامَة,muqaAmap,1,Noun
3091,مَقْبُوحِين,maqobuwHiyn,1,Noun
3092,مَّقْبُوضَة,m~aqobuwDap,1,Adjective
3093,مُّقْتَحِم,m~uqotaHim,1,Noun
3094,مُّقْتَدُون,m~uqotaduwn,1,Noun
3095,مُقْتِر,muqotir,1,Noun
3096,مُّقْتَرِفُون,m~uqotarifuwn,1,Noun
3097,مُقْتَرِنِين,muqotariniyn,1,Noun
3098,مُقْتَسِمِين,muqotasimiyn,1,Noun
3099,مُّقْتَصِدَة,m~uqotaSidap,1,Adjective
3100,مُقَدَّسَة,muqad~asap,1,Adjective
3101,مَّقْدُور,m~aqoduwr,1,Noun
3102,مَقْرَبَة,maqorabap,1,Noun
3103,مُقْرِنِين,muqoriniyn,1,Noun
3104,مُقَسِّمَٰت,muqas~ima`t,1,Noun
3105,مَّقْسُوم,m~aqosuwm,1,Noun
3106,مُقَصِّرِين,muqaS~iriyn,1,Noun
3107,مَّقْصُورَٰت,m~aqoSuwra`t,1,Noun
3108,مَقْطُوع,maqoTuwE,1,Noun
3109,مَقْطُوعَة,maqoTuwEap,1,Noun
3110,مُّقْمَحُون,m~uqomaHuwn,1,Noun
3111,مُقَنطَرَة,muqanTarap,1,Adjective
3112,مُقْنِعِى,muqoniEiY,1,Noun
3113,مُقْوِين,muqowiyn,1,Noun
3114,مُّقِيت,m~uqiyt,1,Noun
3115,مَقِيل,maqiyl,1,Noun
3116,مُكَآء,mukaA^',1,Noun
3117,مُكِبّ,mukib~,1,Noun
3118,مَكْتُوب,makotuwb,1,Noun
3119,مُكْث,mukov,1,Noun
3120,مَكْذُوب,mako*uwb,1,Noun
3121,مُّكْرِم,m~ukorim,1,Noun
3122,مُّكَرَّمَة,m~ukar~amap,1,Adjective
3123,مَكْرُوه,makoruwh,1,Noun
3124,مَكْظُوم,makoZuwm,1,Noun
3125,مُكَلِّبِين,mukal~ibiyn,1,Noun
3126,مَكِيدُون,makiyduwn,1,Noun
3127,مَكَّة,mak~ap,1,Proper noun
3128,مُلَٰق,mula`q,1,Noun
3129,مَّلْعُونِين,m~aloEuwniyn,1,Noun
3130,مَلْعُونَة,maloEuwnap,1,Noun
3131,مُلْقِيَٰت,muloqiya`t,1,Noun
3132,مَلْك,malok,1,Noun
3133,مَلِيّ,maliy~,1,Noun
3134,مَلِيك,maliyk,1,Noun
3135,مِّلْء,m~ilo',1,Noun
3136,مُمِدّ,mumid~,1,Noun
3137,مُّمَدَّدَة,m~umad~adap,1,Adjective
3138,مُّمَرَّد,m~umar~ad,1,Noun
3139,مُمْسِك,mumosik,1,Noun
3140,مُمْسِكَٰت,mumosika`t,1,Noun
3141,مُّمْطِر,m~umoTir,1,Noun
3142,مَّمْلُوك,m~amoluwk,1,Noun
3143,مَمْنُوعَة,mamonuwEap,1,Noun
3144,مُنَاد,munaAd,1,Noun
3145,مُنَادِي,munaAdiy,1,Noun
3146,مَنَاص,manaAS,1,Noun
3147,مَنَاكِب,manaAkib,1,Noun
3148,مُّنبَثّ,m~unbav~,1,Adjective
3149,مُّنتَشِر,m~unta$ir,1,Adjective
3150,مُّنتَهُون,m~untahuwn,1,Noun
3151,مُنْخَنِقَة,munoxaniqap,1,Noun
3152,مُنَزِّل,munaz~il,1,Noun
3153,مُنَزَّل,munaz~al,1,Noun
3154,مِنسَأَت,minsa>at,1,Noun
3155,مَّنسِيّ,m~ansiy~,1,Noun
3156,مُنشَرِين,mun$ariyn,1,Noun
3157,مُّنَشَّرَة,m~una$~arap,1,Adjective
3158,مُنشَـَٔات,mun$a_#aAt,1,Adjective
3159,مُنشِـُٔون,mun$i_#uwn,1,Noun
3160,مَنطِق,manTiq,1,Noun
3161,مُنفَطِر,munfaTir,1,Noun
3162,مُنفِقِين,munfiqiyn,1,Noun
3163,مُنفَكِّين,munfak~iyn,1,Noun
3164,مَنفُوش,manfuw$,1,Adjective
3165,مُّنقَعِر,m~unqaEir,1,Noun
3166,مَنقُوص,manquwS,1,Noun
3167,مُّنكِرَة,m~unkirap,1,Noun
3168,مِنْهَاج,minohaAj,1,Noun
3169,مُّنْهَمِر,m~unohamir,1,Noun
3170,مَنَوٰة,manaw`p,1,Proper noun
3171,مَنُوع,manuwE,1,Noun
3172,مَنُون,manuwn,1,Noun
3173,مَّنِىّ,m~aniY~,1,Noun
3174,مُهَٰجِرَٰت,muha`jira`t,1,Noun
3175,مُهَان,muhaAn,1,Noun
3176,مُهْتَدِى,muhotadiY,1,Noun
3177,مَهْجُور,mahojuwr,1,Noun
3178,مَهْزُوم,mahozuwm,1,Noun
3179,مُهْلِكِى,muholikiY,1,Noun
3180,مُهْلَكِين,muholakiyn,1,Noun
3181,مَهْمَا,mahomaA,1,Conditional particle
3182,مَّهِيل,m~ahiyl,1,Adjective
3183,مَوَاطِن,mawaATin,1,Noun
3184,مَوَٰقِع,mawa`qiE,1,Noun
3185,مُّوَاقِعُو,m~uwaAqiEuw,1,Noun
3186,مَوَٰلِي,mawa`liy,1,Noun
3187,مَّوْبِق,m~awobiq,1,Noun
3188,مُؤْتُون,mu&otuwn,1,Noun
3189,مُّؤَجَّل,m~u&aj~al,1,Adjective
3190,مَوْر,mawor,1,Noun
3191,مَوْرُود,maworuwd,1,Noun
3192,مُورِيَٰت,muwriya`t,1,Noun
3193,مَّوْزُون,m~awozuwn,1,Noun
3194,مُّوص,m~uwS,1,Noun
3195,مَّوْضُوعَة,m~awoDuwEap,1,Adjective
3196,مَّوْضُونَة,m~awoDuwnap,1,Adjective
3197,مَوْطِئ,mawoTi},1,Noun
3198,مَّوْعِدَة,m~awoEidap,1,Noun
3199,مَوْعُود,mawoEuwd,1,Adjective
3200,مُوَفُّو,muwaf~uw,1,Noun
3201,مَّوْفُور,m~awofuwr,1,Noun
3202,مُوفُون,muwfuwn,1,Noun
3203,مُوقَدَة,muwqadap,1,Adjective
3204,مَّوْقُوت,m~awoquwt,1,Adjective
3205,مَوْقُوذَة,mawoquw*ap,1,Noun
3206,مَوْقُوفُون,mawoquwfuwn,1,Noun
3207,مُؤَلَّفَة,mu&al~afap,1,Noun
3208,مُوَلِّي,muwal~iy,1,Noun
3209,مُوهِن,muwhin,1,Noun
3210,مَوْئِل,mawo}il,1,Noun
3211,مَوْءُدَة,mawo'udap,1,Noun
3212,مَيْسَرَة,mayosarap,1,Noun
3213,مَّيْسُور,m~ayosuwr,1,Noun
3214,مِيكَىٰل,miykaY`l,1,Proper noun
3215,مَّيْلَة,m~ayolap,1,Noun
3216,مَـَٔارِب,ma_#aArib,1,Noun
3217,نَاج,naAj,1,Noun
3218,نَّٰزِعَٰت,n~a`ziEa`t,1,Noun
3219,نَاسِكُو,naAsikuw,1,Noun
3220,نَّٰشِرَٰت,n~a`$ira`t,1,Noun
3221,نَّٰشِطَٰت,n~a`$iTa`t,1,Noun
3222,نَاشِئَة,naA$i}ap,1,Noun
3223,نَّاصِبَة,n~aASibap,1,Adjective
3224,نَّاضِرَة,n~aADirap,1,Noun
3225,نَّاعِمَة,n~aAEimap,1,Noun
3226,نَّاقُور,n~aAquwr,1,Noun
3227,نَٰكِبُون,na`kibuwn,1,Noun
3228,نَاكِسُوا,naAkisuwA,1,Noun
3229,نَّاهُون,n~aAhuwn,1,Noun
3230,نَّجْدَيْن,n~ajodayon,1,Noun
3231,نَجَس,najas,1,Noun
3232,نَّجَوٰة,n~ajaw`p,1,Noun
3233,نُحَاس,nuHaAs,1,Noun
3234,نَحْب,naHob,1,Noun
3235,نَحْس,naHos,1,Noun
3236,نَّحِسَات,n~aHisaAt,1,Adjective
3237,نَّحْل,n~aHol,1,Noun
3238,نِحْلَة,niHolap,1,Noun
3239,نَّخِرَة,n~axirap,1,Adjective
3240,نَدِيّ,nadiy~,1,Noun
3241,نُذْر,nu*or,1,Noun
3242,نُذُور,nu*uwr,1,Noun
3243,نَزَّاعَة,naz~aAEap,1,Noun
3244,نَزْلَة,nazolap,1,Noun
3245,نُسْخَت,nusoxat,1,Noun
3246,نَسْر,nasor,1,Proper noun
3247,نَسْي,nasoy,1,Noun
3248,نَسِيّ,nasiy~,1,Noun
3249,نَّسِىٓء,n~asiY^',1,Noun
3250,نَشْر,na$or,1,Noun
3251,نَشْط,na$oT,1,Noun
3252,نُصْب,nuSob,1,Noun
3253,نُصْح,nuSoH,1,Noun
3254,نَّصُوح,n~aSuwH,1,Adjective
3255,نَضَّاخَتَان,naD~aAxataAn,1,Adjective
3256,نَّضِيد,n~aDiyd,1,Adjective
3257,نَّطِيحَة,n~aTiyHap,1,Noun
3258,نَظَر,naZar,1,Noun
3259,نَظِرَة,naZirap,1,Noun
3260,نَظْرَة,naZorap,1,Noun
3261,نَعْلَي,naEolay,1,Noun
3262,نَعْمَآء,naEomaA^',1,Noun
3263,نَّفَّٰثَٰت,n~af~a`va`t,1,Noun
3264,نَّفَاد,n~afaAd,1,Noun
3265,نَفْحَة,nafoHap,1,Noun
3266,نَفْخَة,nafoxap,1,Noun
3267,نَفَق,nafaq,1,Noun
3268,نَفَقَٰت,nafaqa`t,1,Noun
3269,نَفِير,nafiyr,1,Noun
3270,نَقْب,naqob,1,Noun
3271,نَقْع,naqoE,1,Noun
3272,نَقِيب,naqiyb,1,Noun
3273,نَكِد,nakid,1,Noun
3274,نُّكُر,n~ukur,1,Adjective
3275,نَّكِير,n~akiyr,1,Noun
3276,نَمَارِق,namaAriq,1,Noun
3277,نَمْلَة,namolap,1,Noun
3278,نَمِيم,namiym,1,Noun
3279,نَّوَٰصِى,n~awa`SiY,1,Noun
3280,نُّون,n~uwn,1,Noun
3281,نَّوَىٰ,n~awaY`,1,Noun
3282,نَّيْل,n~ayol,1,Noun
3283,هَآؤُم,haA^&um,1,Imperative verbal noun
3284,هَٰتَيْن,ha`tayon,1,Demonstrative pronoun
3285,هَٰدِى,ha`diY,1,Noun
3286,هَار,haAr,1,Noun
3287,هَٰرُوت,ha`ruwt,1,Proper noun
3288,هَٰكَذَا,ha`ka*aA,1,Demonstrative pronoun
3289,هَامِدَة,haAmidap,1,Noun
3290,هَاوِيَة,haAwiyap,1,Noun
3291,هَجْر,hajor,1,Noun
3292,هَدّ,had~,1,Noun
3293,هُدْهُد,hudohud,1,Noun
3294,هَرَب,harab,1,Noun
3295,هَزْل,hazol,1,Noun
3296,هَضْم,haDom,1,Noun
3297,هَضِيم,haDiym,1,Adjective
3298,هَلُوع,haluwE,1,Noun
3299,هَمَّاز,ham~aAz,1,Adjective
3300,هَمَزَٰت,hamaza`t,1,Noun
3301,هُمَزَة,humazap,1,Noun
3302,هَمْس,hamos,1,Noun
3303,هَوْن,hawon,1,Noun
3304,هِيم,hiym,1,Noun
3305,وَاجِفَة,waAjifap,1,Adjective
3306,وَادِي,waAdiy,1,Noun
3307,وَٰعِظِين,wa`EiZiyn,1,Noun
3308,وَٰعِيَة,wa`Eiyap,1,Adjective
3309,وَال,waAl,1,Noun
3310,وَٰلِدَٰت,wa`lida`t,1,Noun
3311,وَاهِيَة,waAhiyap,1,Noun
3312,وَبِيل,wabiyl,1,Adjective
3313,وَتْر,wator,1,Noun
3314,وَتِين,watiyn,1,Noun
3315,وُجْد,wujod,1,Noun
3316,وَجِلُون,wajiluwn,1,Noun
3317,وَجِلَة,wajilap,1,Adjective
3318,وِجْهَة,wijohap,1,Noun
3319,وُحُوش,wuHuw$,1,Noun
3320,وَحِيد,waHiyd,1,Noun
3321,وَدّ,wad~,1,Proper noun
3322,وُدّ,wud~,1,Noun
3323,وَرْدَة,warodap,1,Noun
3324,وَرِق,wariq,1,Noun
3325,وَرَقَة,waraqap,1,Noun
3326,وَرِيد,wariyd,1,Noun
3327,وَزَر,wazar,1,Noun
3328,وَسَط,wasaT,1,Adjective
3329,وُسْطَىٰ,wusoTaY`,1,Adjective
3330,وَسْوَاس,wasowaAs,1,Noun
3331,وَصْف,waSof,1,Noun
3332,وَصِيد,waSiyd,1,Noun
3333,وَصِيلَة,waSiylap,1,Noun
3334,وَطْـٔ,waTo_#,1,Noun
3335,وِفَاق,wifaAq,1,Adjective
3336,وَفْد,wafod,1,Noun
3337,وَقَار,waqaAr,1,Noun
3338,وِقْر,wiqor,1,Noun
3339,وَقْعَت,waqoEat,1,Noun
3340,وَلِيجَة,waliyjap,1,Noun
3341,وَهَّاج,wah~aAj,1,Adjective
3342,يَابِس,yaAbis,1,Noun
3343,يَاقُوت,yaAquwt,1,Noun
3344,يَبَس,yabas,1,Adjective
3345,يَثْرِب,yavorib,1,Proper noun
3346,يَحْمُوم,yaHomuwm,1,Noun
3347,يَعُوق,yaEuwq,1,Proper noun
3348,يَغُوث,yaguwv,1,Proper noun
3349,يَقْطِين,yaqoTiyn,1,Noun
3350,يَنْع,yanoE,1,Noun
3351,ءَاسِن,'aAsin,1,Noun
3352,ءَافِلِين,'aAfiliyn,1,Noun
3353,ءَامِرُون,'aAmiruwn,1,Noun
3354,ءَامِنَة,'aAminap,1,Noun
3355,ءَان,'aAn,1,Noun
3356,ءَانِف,'aAnif,1,Noun
